optimizer,step,group,metric,n,finite_n,nan_or_inf_fraction,max,median,p95,worst_layer
sgd,50,o_down,O1C_dW_cos,144,144,0.0,1.0000000000000786,1.0000000000000044,1.0000000000000422,18
sgd,50,o_down,O1A_optstate_relerr,144,144,0.0,4.7544993851895155e-15,2.029963406531627e-15,3.962609656445922e-15,7
sgd,50,o_down,O1C_optstate_relerr,144,144,0.0,4.7544993851895155e-15,2.029963406531627e-15,3.962609656445922e-15,7
sgd,50,o_down,loss_absdiff_O1C,144,144,0.0,1.3322676295501878e-15,0.0,8.881784197001252e-16,21
sgd,50,qkv,O1A_A_update_relerr,216,216,0.0,1.102952285547442,0.008653967434926024,0.027830760054734324,0
sgd,50,qkv,O1C_A_update_relerr,216,216,0.0,4.976454008124683e-16,4.724411243330697e-16,4.908375523547451e-16,0
sgd,50,qkv,O1A_B_update_relerr,216,216,0.0,0.5465445605180963,0.0008398658701621723,0.008786915177289044,0
sgd,50,qkv,O1C_B_update_relerr,216,216,0.0,5.055143263782991e-16,4.709528162477279e-16,4.941817316206397e-16,21
sgd,50,qkv,O1A_dW_cos,216,216,0.0,0.9999966155627169,0.999953682624775,0.9999939109064051,17
sgd,50,qkv,O1C_dW_cos,216,216,0.0,1.0000000000000329,0.9999999999999997,1.0000000000000129,9
sgd,50,qkv,O1A_optstate_relerr,216,216,0.0,33.493889335409705,1.0709084204061865,2.531101379036289,0
sgd,50,qkv,O1C_optstate_relerr,216,216,0.0,2.678376439242511e-15,1.1961918996730926e-15,2.2018880753130633e-15,0
sgd,50,qkv,loss_absdiff_O1C,216,216,0.0,1.7763568394002505e-15,0.0,4.440892098500626e-16,0
sgd,50,gate_up,O1A_A_update_relerr,144,78,0.4583,0.006130223574313233,0.0027988606997548853,0.005022238579227463,0
sgd,50,gate_up,O1C_A_update_relerr,144,144,0.0,4.920632210539858e-16,4.74389645934836e-16,4.86486907747952e-16,15
sgd,50,gate_up,O1A_B_update_relerr,144,78,0.4583,0.00019150069715881846,8.36260614085962e-06,0.00013675662128940353,21
sgd,50,gate_up,O1C_B_update_relerr,144,144,0.0,1.0803091515113121e-17,8.68974762944668e-18,9.931100031609528e-18,0
sgd,50,gate_up,O1A_dW_cos,144,78,0.4583,0.9999979095561965,0.9999934988930321,0.9999973152190798,16
sgd,50,gate_up,O1C_dW_cos,144,144,0.0,1.000000000000065,1.0000000000000004,1.0000000000000477,23
sgd,50,gate_up,O1A_optstate_relerr,144,78,0.4583,1.231569283199836,0.8021866454036609,1.1911939321489793,0
sgd,50,gate_up,O1C_optstate_relerr,144,144,0.0,3.827688281391574e-15,2.8238775308066226e-15,3.593448781088714e-15,3
sgd,50,gate_up,loss_absdiff_O1C,144,144,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16,5
momentum,1,o_down,O1A_A_update_relerr,144,144,0.0,8.394491283093573e-18,5.7265490187689125e-18,7.99757482092326e-18,3
momentum,1,o_down,O1C_A_update_relerr,144,144,0.0,8.394491283093573e-18,5.7265490187689125e-18,7.99757482092326e-18,3
momentum,1,o_down,O1A_B_update_relerr,144,144,0.0,1.1332471053156676e-17,4.721421486325018e-18,9.771998807388687e-18,9
momentum,1,o_down,O1C_B_update_relerr,144,144,0.0,1.1332471053156676e-17,4.721421486325018e-18,9.771998807388687e-18,9
momentum,1,o_down,O1A_dW_cos,144,144,0.0,1.0000000000001021,1.0000000000000009,1.0000000000000406,22
momentum,1,o_down,O1C_dW_cos,144,144,0.0,1.0000000000001021,1.0000000000000009,1.0000000000000406,22
momentum,1,o_down,O1A_optstate_relerr,144,144,0.0,4.1993109197056916e-15,1.8765712164286238e-15,3.5434606050477782e-15,6
momentum,1,o_down,O1C_optstate_relerr,144,144,0.0,4.1993109197056916e-15,1.8765712164286238e-15,3.5434606050477782e-15,6
momentum,1,o_down,loss_absdiff_O1C,144,144,0.0,1.3322676295501878e-15,0.0,8.881784197001252e-16,22
momentum,1,qkv,O1A_A_update_relerr,216,216,0.0,0.11293421304617976,0.0001784571808706696,0.0006017846463308064,0
momentum,1,qkv,O1C_A_update_relerr,216,216,0.0,1.034287255415416e-16,9.369351713704658e-17,9.779131931728624e-17,0
momentum,1,qkv,O1A_B_update_relerr,216,216,0.0,1.153690279183542e-16,1.0386724272261976e-16,1.0861470706964527e-16,4
momentum,1,qkv,O1C_B_update_relerr,216,216,0.0,1.153690279183542e-16,1.0386724272261976e-16,1.0861470706964527e-16,4
momentum,1,qkv,O1A_dW_cos,216,216,0.0,0.9999999985518357,0.9999999798843393,0.9999999973587481,17
momentum,1,qkv,O1C_dW_cos,216,216,0.0,1.000000000000036,0.9999999999999996,1.0000000000000129,12
momentum,1,qkv,O1A_optstate_relerr,216,216,0.0,279.7602542183126,1.1060307144057107,2.889562422108681,0
